Freq.	V(isensa)
1.63580411711557e+001	2.13309433624509e+000,-1.59246566590613e-003
1.64718203453515e+001	2.13309432540622e+000,-1.60354213600149e-003
1.65863909162889e+001	2.13309431441604e+000,-1.61469564894330e-003
1.67017583885675e+001	2.13309430327245e+000,-1.62592674060489e-003
1.68179283050744e+001	2.13309429197330e+000,-1.63723595058683e-003
1.69349062472506e+001	2.13309428051642e+000,-1.64862382224320e-003
1.70526978353592e+001	2.13309426889961e+000,-1.66009090270659e-003
1.71713087287552e+001	2.13309425712064e+000,-1.67163774291603e-003
1.72907446261574e+001	2.13309424517723e+000,-1.68326489764201e-003
1.74110112659226e+001	2.13309423306710e+000,-1.69497292551398e-003
1.75321144263208e+001	2.13309422078793e+000,-1.70676238904677e-003
1.76540599258132e+001	2.13309420833733e+000,-1.71863385466778e-003
1.77768536233315e+001	2.13309419571294e+000,-1.73058789274431e-003
1.79005014185596e+001	2.13309418291232e+000,-1.74262507761065e-003
1.80250092522167e+001	2.13309416993301e+000,-1.75474598759602e-003
1.81503831063433e+001	2.13309415677251e+000,-1.76695120505206e-003
1.82766290045881e+001	2.13309414342830e+000,-1.77924131638088e-003
1.84037530124976e+001	2.13309412989781e+000,-1.79161691206346e-003
1.85317612378075e+001	2.13309411617844e+000,-1.80407858668771e-003
1.86606598307363e+001	2.13309410226756e+000,-1.81662693897732e-003
1.87904549842804e+001	2.13309408816249e+000,-1.82926257182008e-003
1.89211529345120e+001	2.13309407386051e+000,-1.84198609229742e-003
1.90527599608789e+001	2.13309405935889e+000,-1.85479811171322e-003
1.91852823865054e+001	2.13309404465484e+000,-1.86769924562321e-003
1.93187265784970e+001	2.13309402974553e+000,-1.88069011386457e-003
1.94530989482458e+001	2.13309401462809e+000,-1.89377134058578e-003
1.95884059517387e+001	2.13309399929961e+000,-1.90694355427651e-003
1.97246540898673e+001	2.13309398375716e+000,-1.92020738779790e-003
1.98618499087409e+001	2.13309396799775e+000,-1.93356347841276e-003
2.00000000000001e+001	2.13309395201834e+000,-1.94701246781663e-003
2.01391110011345e+001	2.13309393581587e+000,-1.96055500216811e-003
2.02791895958007e+001	2.13309391938722e+000,-1.97419173212015e-003
2.04202425141440e+001	2.13309390272924e+000,-1.98792331285125e-003
2.05622765331215e+001	2.13309388583871e+000,-2.00175040409703e-003
2.07052984768277e+001	2.13309386871241e+000,-2.01567367018183e-003
2.08493152168226e+001	2.13309385134703e+000,-2.02969378005061e-003
2.09943336724615e+001	2.13309383373924e+000,-2.04381140730125e-003
2.11403608112278e+001	2.13309381588566e+000,-2.05802723021654e-003
2.12874036490674e+001	2.13309379778285e+000,-2.07234193179735e-003
2.14354692507260e+001	2.13309377942733e+000,-2.08675619979485e-003
2.15845647300887e+001	2.13309376081558e+000,-2.10127072674390e-003
2.17346972505213e+001	2.13309374194401e+000,-2.11588620999616e-003
2.18858740252150e+001	2.13309372280902e+000,-2.13060335175381e-003
2.20381023175324e+001	2.13309370340690e+000,-2.14542285910304e-003
2.21913894413571e+001	2.13309368373395e+000,-2.16034544404814e-003
2.23457427614446e+001	2.13309366378636e+000,-2.17537182354559e-003
2.25011696937764e+001	2.13309364356033e+000,-2.19050271953862e-003
2.26576777059162e+001	2.13309362305195e+000,-2.20573885899222e-003
2.28152743173687e+001	2.13309360225728e+000,-2.22108097392710e-003
2.29739670999409e+001	2.13309358117233e+000,-2.23652980145592e-003
2.31337636781060e+001	2.13309355979304e+000,-2.25208608381818e-003
2.32946717293693e+001	2.13309353811531e+000,-2.26775056841584e-003
2.34566989846378e+001	2.13309351613497e+000,-2.28352400784931e-003
2.36198532285908e+001	2.13309349384780e+000,-2.29940715995382e-003
2.37841423000546e+001	2.13309347124951e+000,-2.31540078783517e-003
2.39495740923788e+001	2.13309344833576e+000,-2.33150565990782e-003
2.41161565538154e+001	2.13309342510215e+000,-2.34772254993167e-003
2.42838976879012e+001	2.13309340154420e+000,-2.36405223704374e-003
2.44528055538416e+001	2.13309337765740e+000,-2.38049550580496e-003
2.46228882668986e+001	2.13309335343716e+000,-2.39705314623185e-003
2.47941539987800e+001	2.13309332887881e+000,-2.41372595383569e-003
2.49666109780325e+001	2.13309330397764e+000,-2.43051472965904e-003
2.51402674904368e+001	2.13309327872886e+000,-2.44742028032142e-003
