Freq.	a	b	gain
1.41421000000000e+003	(-4.60389836402053e+001dB,-8.89812565503795e+001°)	(-7.68077627421235e+001dB,-1.67788041350332e+002°)	(3.07688000000000e+001dB,7.88068000000000e+001°)
1.42405000000000e+003	(-4.60389818918353e+001dB,-8.89741737951691e+001°)	(-7.68747228243066e+001dB,-1.67835247928051e+002°)	(3.08357000000000e+001dB,7.88611000000000e+001°)
1.43396000000000e+003	(-4.60389622754743e+001dB,-8.89669725568183e+001°)	(-7.69418446243710e+001dB,-1.67881959144357e+002°)	(3.09029000000000e+001dB,7.89150000000000e+001°)
1.44393000000000e+003	(-4.60388902198722e+001dB,-8.89597466054618e+001°)	(-7.70091256297915e+001dB,-1.67928078172487e+002°)	(3.09702000000000e+001dB,7.89683000000000e+001°)
1.45397000000000e+003	(-4.60389050825195e+001dB,-8.89525206110724e+001°)	(-7.70765077656846e+001dB,-1.67973750597816e+002°)	(3.10376000000000e+001dB,7.90212000000000e+001°)
1.46409000000000e+003	(-4.60389022445282e+001dB,-8.89452404470388e+001°)	(-7.71440507650278e+001dB,-1.68018873583820e+002°)	(3.11052000000000e+001dB,7.90736000000000e+001°)
1.47427000000000e+003	(-4.60388991243284e+001dB,-8.89379097699380e+001°)	(-7.72117559252005e+001dB,-1.68063469109853e+002°)	(3.11729000000000e+001dB,7.91255000000000e+001°)
1.48452000000000e+003	(-4.60388958879363e+001dB,-8.89305882832788e+001°)	(-7.72796219287163e+001dB,-1.68107478035800e+002°)	(3.12408000000000e+001dB,7.91768000000000e+001°)
1.49485000000000e+003	(-4.60388747772590e+001dB,-8.89231541474366e+001°)	(-7.73476526730945e+001dB,-1.68151004751145e+002°)	(3.13088000000000e+001dB,7.92279000000000e+001°)
1.50525000000000e+003	(-4.60388707872714e+001dB,-8.89156696536953e+001°)	(-7.74157850008244e+001dB,-1.68194119276155e+002°)	(3.13769000000000e+001dB,7.92784000000000e+001°)
1.51572000000000e+003	(-4.60388839315431e+001dB,-8.89081404983517e+001°)	(-7.74840796761553e+001dB,-1.68236675868135e+002°)	(3.14452000000000e+001dB,7.93285000000000e+001°)
1.52626000000000e+003	(-4.60388793369436e+001dB,-8.89005503771173e+001°)	(-7.75526034364809e+001dB,-1.68278652495853e+002°)	(3.15137000000000e+001dB,7.93781000000000e+001°)
1.53688000000000e+003	(-4.60389091748695e+001dB,-8.88928789028255e+001°)	(-7.76212297335190e+001dB,-1.68320249809410e+002°)	(3.15823000000000e+001dB,7.94274000000000e+001°)
1.54756000000000e+003	(-4.60388693416494e+001dB,-8.88852519039618e+001°)	(-7.76900167649172e+001dB,-1.68361191681392e+002°)	(3.16511000000000e+001dB,7.94759000000000e+001°)
1.55833000000000e+003	(-4.60388638168113e+001dB,-8.88775033695766e+001°)	(-7.77589724500970e+001dB,-1.68401717051094e+002°)	(3.17201000000000e+001dB,7.95242000000000e+001°)
1.56917000000000e+003	(-4.60388753766893e+001dB,-8.88696986191150e+001°)	(-7.78280939881162e+001dB,-1.68441723104577e+002°)	(3.17893000000000e+001dB,7.95720000000000e+001°)
1.58008000000000e+003	(-4.60388342944442e+001dB,-8.88618122870758e+001°)	(-7.78974494008756e+001dB,-1.68481146196932e+002°)	(3.18586000000000e+001dB,7.96193000000000e+001°)
1.59107000000000e+003	(-4.60388277911928e+001dB,-8.88538996223963e+001°)	(-7.79669040871637e+001dB,-1.68520103855234e+002°)	(3.19281000000000e+001dB,7.96662000000000e+001°)
1.60214000000000e+003	(-4.60388209750320e+001dB,-8.88459387499752e+001°)	(-7.80365268653471e+001dB,-1.68558577504369e+002°)	(3.19977000000000e+001dB,7.97126000000000e+001°)
1.61328000000000e+003	(-4.60388312264153e+001dB,-8.88379204532495e+001°)	(-7.81063873931557e+001dB,-1.68596504205890e+002°)	(3.20676000000000e+001dB,7.97586000000000e+001°)
1.62450000000000e+003	(-4.60388062851299e+001dB,-8.88298379428043e+001°)	(-7.81763463313411e+001dB,-1.68633958328569e+002°)	(3.21376000000000e+001dB,7.98041000000000e+001°)
1.63580000000000e+003	(-4.60387808846908e+001dB,-8.88216636330257e+001°)	(-7.82465451063760e+001dB,-1.68670876000012e+002°)	(3.22078000000000e+001dB,7.98492000000000e+001°)
1.64718000000000e+003	(-4.60387725677534e+001dB,-8.88134410706258e+001°)	(-7.83169150401071e+001dB,-1.68707332286282e+002°)	(3.22782000000000e+001dB,7.98938000000000e+001°)
1.65864000000000e+003	(-4.60387639993381e+001dB,-8.88051955628458e+001°)	(-7.83874530756350e+001dB,-1.68743217420003e+002°)	(3.23487000000000e+001dB,7.99380000000000e+001°)
1.67018000000000e+003	(-4.60387374081529e+001dB,-8.87968147155189e+001°)	(-7.84582359038237e+001dB,-1.68778607124813e+002°)	(3.24195000000000e+001dB,7.99818000000000e+001°)
1.68179000000000e+003	(-4.60387803216904e+001dB,-8.87884471687702e+001°)	(-7.85291902686548e+001dB,-1.68813483991388e+002°)	(3.24904000000000e+001dB,8.00251000000000e+001°)
1.69349000000000e+003	(-4.60387356954620e+001dB,-8.87799884387571e+001°)	(-7.86002433232869e+001dB,-1.68847924656000e+002°)	(3.25615000000000e+001dB,8.00679000000000e+001°)
1.70527000000000e+003	(-4.60387256508966e+001dB,-8.87715133916230e+001°)	(-7.86716152049486e+001dB,-1.68881724517172e+002°)	(3.26329000000000e+001dB,8.01102000000000e+001°)
1.71713000000000e+003	(-4.60387326324065e+001dB,-8.87629784832393e+001°)	(-7.87431602871248e+001dB,-1.68915006439043e+002°)	(3.27044000000000e+001dB,8.01521000000000e+001°)
1.72907000000000e+003	(-4.60387046511278e+001dB,-8.87544600339058e+001°)	(-7.88148767499412e+001dB,-1.68947703569026e+002°)	(3.27761000000000e+001dB,8.01933000000000e+001°)
1.74110000000000e+003	(-4.60386935388614e+001dB,-8.87458358037890e+001°)	(-7.88867700109663e+001dB,-1.68979994334785e+002°)	(3.28481000000000e+001dB,8.02342000000000e+001°)
1.75321000000000e+003	(-4.60386643273242e+001dB,-8.87370648836529e+001°)	(-7.89589168084780e+001dB,-1.69011816823565e+002°)	(3.29202000000000e+001dB,8.02747000000000e+001°)
1.76541000000000e+003	(-4.60386697196105e+001dB,-8.87282889257182e+001°)	(-7.90313142587084e+001dB,-1.69043004445368e+002°)	(3.29926000000000e+001dB,8.03148000000000e+001°)
1.77769000000000e+003	(-4.60386572711059e+001dB,-8.87194466423676e+001°)	(-7.91038129633941e+001dB,-1.69073834692022e+002°)	(3.30652000000000e+001dB,8.03543000000000e+001°)
1.79005000000000e+003	(-4.60386618625749e+001dB,-8.87105558802239e+001°)	(-7.91766417708665e+001dB,-1.69103946369761e+002°)	(3.31379000000000e+001dB,8.03935000000000e+001°)
1.80250000000000e+003	(-4.60386660082345e+001dB,-8.87015962284930e+001°)	(-7.92496521633490e+001dB,-1.69133671234455e+002°)	(3.32110000000000e+001dB,8.04321000000000e+001°)
1.81504000000000e+003	(-4.60386522600583e+001dB,-8.86925588283144e+001°)	(-7.93228406865879e+001dB,-1.69162890814153e+002°)	(3.32842000000000e+001dB,8.04703000000000e+001°)
1.82766000000000e+003	(-4.60386906258398e+001dB,-8.86835479823758e+001°)	(-7.93962068167955e+001dB,-1.69191587695931e+002°)	(3.33576000000000e+001dB,8.05080000000000e+001°)
1.84038000000000e+003	(-4.60386760433579e+001dB,-8.86743957862672e+001°)	(-7.94699135935038e+001dB,-1.69219648291204e+002°)	(3.34313000000000e+001dB,8.05452000000000e+001°)
1.85318000000000e+003	(-4.60386783992044e+001dB,-8.86651720667961e+001°)	(-7.95438851927628e+001dB,-1.69247208262887e+002°)	(3.35052000000000e+001dB,8.05820000000000e+001°)
1.86607000000000e+003	(-4.60386625550956e+001dB,-8.86557903180967e+001°)	(-7.96181231983496e+001dB,-1.69274251149269e+002°)	(3.35794000000000e+001dB,8.06185000000000e+001°)
1.87905000000000e+003	(-4.60386641690489e+001dB,-8.86464862499670e+001°)	(-7.96925437067641e+001dB,-1.69300754040069e+002°)	(3.36539000000000e+001dB,8.06543000000000e+001°)
1.89212000000000e+003	(-4.60386307893837e+001dB,-8.86371991204295e+001°)	(-7.97672276337333e+001dB,-1.69326540531822e+002°)	(3.37286000000000e+001dB,8.06894000000000e+001°)
1.90528000000000e+003	(-4.60386313203676e+001dB,-8.86277228884576e+001°)	(-7.98421036725898e+001dB,-1.69352079527743e+002°)	(3.38035000000000e+001dB,8.07243000000000e+001°)
1.91853000000000e+003	(-4.60386137072065e+001dB,-8.86181116692795e+001°)	(-7.99173171822061e+001dB,-1.69376949061398e+002°)	(3.38787000000000e+001dB,8.07589000000000e+001°)
1.93187000000000e+003	(-4.60386132523611e+001dB,-8.86084977008483e+001°)	(-7.99927707380762e+001dB,-1.69401311430244e+002°)	(3.39542000000000e+001dB,8.07928000000000e+001°)
1.94531000000000e+003	(-4.60386123401324e+001dB,-8.85988263361406e+001°)	(-8.00684908697981e+001dB,-1.69425117915058e+002°)	(3.40299000000000e+001dB,8.08263000000000e+001°)
1.95884000000000e+003	(-4.60386109232517e+001dB,-8.85890860969732e+001°)	(-8.01444789585586e+001dB,-1.69448350517550e+002°)	(3.41059000000000e+001dB,8.08593000000000e+001°)
1.97247000000000e+003	(-4.60386089532336e+001dB,-8.85792655053956e+001°)	(-8.02207396403498e+001dB,-1.69471106321579e+002°)	(3.41821000000000e+001dB,8.08918000000000e+001°)
1.98618000000000e+003	(-4.60385715321546e+001dB,-8.85693473382376e+001°)	(-8.02972710810960e+001dB,-1.69493252856392e+002°)	(3.42587000000000e+001dB,8.09239000000000e+001°)
2.00000000000000e+003	(-4.60385685678723e+001dB,-8.85594005247151e+001°)	(-8.03740957915023e+001dB,-1.69514866548671e+002°)	(3.43355000000000e+001dB,8.09555000000000e+001°)
2.01391000000000e+003	(-4.60385826999309e+001dB,-8.85494393322619e+001°)	(-8.04512050358822e+001dB,-1.69535881772725e+002°)	(3.44126000000000e+001dB,8.09864000000000e+001°)
2.02792000000000e+003	(-4.60385608334096e+001dB,-8.85392428991875e+001°)	(-8.05285964114125e+001dB,-1.69556470126201e+002°)	(3.44900000000000e+001dB,8.10172000000000e+001°)
2.04202000000000e+003	(-4.60385392727476e+001dB,-8.85291957455998e+001°)	(-8.06062796463326e+001dB,-1.69576232341591e+002°)	(3.45677000000000e+001dB,8.10471000000000e+001°)
2.05623000000000e+003	(-4.60385339921007e+001dB,-8.85189275736033e+001°)	(-8.06842810594388e+001dB,-1.69595680732849e+002°)	(3.46457000000000e+001dB,8.10767000000000e+001°)
2.07053000000000e+003	(-4.60385283418784e+001dB,-8.85086364565350e+001°)	(-8.07625927837726e+001dB,-1.69614434964736e+002°)	(3.47241000000000e+001dB,8.11058000000000e+001°)
2.08493000000000e+003	(-4.60385394938067e+001dB,-8.84982619916841e+001°)	(-8.08412127596489e+001dB,-1.69632671051081e+002°)	(3.48027000000000e+001dB,8.11344000000000e+001°)
2.09943000000000e+003	(-4.60385326837152e+001dB,-8.84878216576164e+001°)	(-8.09201603081573e+001dB,-1.69650286612183e+002°)	(3.48816000000000e+001dB,8.11625000000000e+001°)
