Freq.	a	b	gain
3.50642e+003	(-4.60383e+001dB,-8.74746e+001°)	(-8.87658e+001dB,-1.65159e+002°)	(4.27275e+001dB,7.76844e+001°)
3.53081e+003	(-4.60383e+001dB,-8.74569e+001°)	(-8.88913e+001dB,-1.65089e+002°)	(4.28530e+001dB,7.76324e+001°)
3.55537e+003	(-4.60383e+001dB,-8.74393e+001°)	(-8.90182e+001dB,-1.65016e+002°)	(4.29800e+001dB,7.75767e+001°)
3.58010e+003	(-4.60383e+001dB,-8.74215e+001°)	(-8.91467e+001dB,-1.64940e+002°)	(4.31084e+001dB,7.75181e+001°)
3.60500e+003	(-4.60382e+001dB,-8.74034e+001°)	(-8.92765e+001dB,-1.64860e+002°)	(4.32383e+001dB,7.74566e+001°)
3.63008e+003	(-4.60382e+001dB,-8.73854e+001°)	(-8.94079e+001dB,-1.64777e+002°)	(4.33697e+001dB,7.73912e+001°)
3.65533e+003	(-4.60382e+001dB,-8.73672e+001°)	(-8.95410e+001dB,-1.64690e+002°)	(4.35028e+001dB,7.73225e+001°)
3.68075e+003	(-4.60382e+001dB,-8.73489e+001°)	(-8.96756e+001dB,-1.64599e+002°)	(4.36375e+001dB,7.72499e+001°)
3.70635e+003	(-4.60382e+001dB,-8.73305e+001°)	(-8.98120e+001dB,-1.64504e+002°)	(4.37739e+001dB,7.71735e+001°)
3.73213e+003	(-4.60382e+001dB,-8.73119e+001°)	(-8.99501e+001dB,-1.64405e+002°)	(4.39119e+001dB,7.70931e+001°)
3.75809e+003	(-4.60382e+001dB,-8.72933e+001°)	(-9.00900e+001dB,-1.64302e+002°)	(4.40519e+001dB,7.70086e+001°)
3.78423e+003	(-4.60382e+001dB,-8.72745e+001°)	(-9.02318e+001dB,-1.64194e+002°)	(4.41936e+001dB,7.69196e+001°)
3.81055e+003	(-4.60382e+001dB,-8.72556e+001°)	(-9.03754e+001dB,-1.64082e+002°)	(4.43373e+001dB,7.68259e+001°)
3.83706e+003	(-4.60381e+001dB,-8.72365e+001°)	(-9.05211e+001dB,-1.63964e+002°)	(4.44829e+001dB,7.67276e+001°)
3.86375e+003	(-4.60381e+001dB,-8.72173e+001°)	(-9.06687e+001dB,-1.63842e+002°)	(4.46306e+001dB,7.66245e+001°)
3.89062e+003	(-4.60381e+001dB,-8.71979e+001°)	(-9.08184e+001dB,-1.63714e+002°)	(4.47804e+001dB,7.65161e+001°)
3.91768e+003	(-4.60380e+001dB,-8.71783e+001°)	(-9.09703e+001dB,-1.63581e+002°)	(4.49323e+001dB,7.64023e+001°)
3.94493e+003	(-4.60380e+001dB,-8.71587e+001°)	(-9.11245e+001dB,-1.63441e+002°)	(4.50864e+001dB,7.62826e+001°)
3.97237e+003	(-4.60380e+001dB,-8.71390e+001°)	(-9.12809e+001dB,-1.63296e+002°)	(4.52429e+001dB,7.61570e+001°)
4.00000e+003	(-4.60379e+001dB,-8.71190e+001°)	(-9.14397e+001dB,-1.63144e+002°)	(4.54018e+001dB,7.60251e+001°)
4.02782e+003	(-4.60380e+001dB,-8.70990e+001°)	(-9.16010e+001dB,-1.62985e+002°)	(4.55630e+001dB,7.58865e+001°)
4.05584e+003	(-4.60380e+001dB,-8.70788e+001°)	(-9.17649e+001dB,-1.62820e+002°)	(4.57269e+001dB,7.57409e+001°)
4.08405e+003	(-4.60380e+001dB,-8.70584e+001°)	(-9.19314e+001dB,-1.62646e+002°)	(4.58935e+001dB,7.55881e+001°)
4.11246e+003	(-4.60379e+001dB,-8.70381e+001°)	(-9.21007e+001dB,-1.62465e+002°)	(4.60627e+001dB,7.54271e+001°)
4.14106e+003	(-4.60379e+001dB,-8.70175e+001°)	(-9.22728e+001dB,-1.62276e+002°)	(4.62348e+001dB,7.52581e+001°)
4.16986e+003	(-4.60379e+001dB,-8.69966e+001°)	(-9.24478e+001dB,-1.62077e+002°)	(4.64099e+001dB,7.50808e+001°)
4.19887e+003	(-4.60379e+001dB,-8.69758e+001°)	(-9.26259e+001dB,-1.61870e+002°)	(4.65880e+001dB,7.48937e+001°)
4.22807e+003	(-4.60379e+001dB,-8.69548e+001°)	(-9.28071e+001dB,-1.61652e+002°)	(4.67692e+001dB,7.46973e+001°)
4.25748e+003	(-4.60378e+001dB,-8.69335e+001°)	(-9.29917e+001dB,-1.61424e+002°)	(4.69539e+001dB,7.44905e+001°)
4.28709e+003	(-4.60378e+001dB,-8.69124e+001°)	(-9.31798e+001dB,-1.61185e+002°)	(4.71420e+001dB,7.42723e+001°)
4.31691e+003	(-4.60378e+001dB,-8.68908e+001°)	(-9.33714e+001dB,-1.60934e+002°)	(4.73336e+001dB,7.40428e+001°)
4.34694e+003	(-4.60377e+001dB,-8.68692e+001°)	(-9.35668e+001dB,-1.60670e+002°)	(4.75290e+001dB,7.38010e+001°)
4.37717e+003	(-4.60377e+001dB,-8.68473e+001°)	(-9.37659e+001dB,-1.60393e+002°)	(4.77282e+001dB,7.35460e+001°)
