Freq.	a	b	gain
1.64718e+003	(-4.60397e+001dB,-8.88138e+001°)	(-8.56269e+001dB,-1.01770e+002°)	(3.95873e+001dB,1.29565e+001°)
1.65864e+003	(-4.60397e+001dB,-8.88056e+001°)	(-8.56456e+001dB,-1.01817e+002°)	(3.96060e+001dB,1.30111e+001°)
1.67018e+003	(-4.60397e+001dB,-8.87973e+001°)	(-8.56646e+001dB,-1.01863e+002°)	(3.96249e+001dB,1.30654e+001°)
1.68179e+003	(-4.60397e+001dB,-8.87889e+001°)	(-8.56838e+001dB,-1.01908e+002°)	(3.96441e+001dB,1.31194e+001°)
1.69349e+003	(-4.60397e+001dB,-8.87805e+001°)	(-8.57032e+001dB,-1.01954e+002°)	(3.96636e+001dB,1.31730e+001°)
1.70527e+003	(-4.60397e+001dB,-8.87720e+001°)	(-8.57229e+001dB,-1.01998e+002°)	(3.96832e+001dB,1.32263e+001°)
1.71713e+003	(-4.60397e+001dB,-8.87635e+001°)	(-8.57428e+001dB,-1.02043e+002°)	(3.97031e+001dB,1.32792e+001°)
1.72907e+003	(-4.60397e+001dB,-8.87549e+001°)	(-8.57630e+001dB,-1.02087e+002°)	(3.97233e+001dB,1.33317e+001°)
1.74110e+003	(-4.60397e+001dB,-8.87462e+001°)	(-8.57834e+001dB,-1.02130e+002°)	(3.97437e+001dB,1.33839e+001°)
1.75321e+003	(-4.60397e+001dB,-8.87375e+001°)	(-8.58041e+001dB,-1.02173e+002°)	(3.97644e+001dB,1.34356e+001°)
1.76541e+003	(-4.60397e+001dB,-8.87287e+001°)	(-8.58250e+001dB,-1.02216e+002°)	(3.97853e+001dB,1.34868e+001°)
1.77769e+003	(-4.60397e+001dB,-8.87199e+001°)	(-8.58462e+001dB,-1.02258e+002°)	(3.98065e+001dB,1.35377e+001°)
1.79005e+003	(-4.60397e+001dB,-8.87110e+001°)	(-8.58677e+001dB,-1.02299e+002°)	(3.98280e+001dB,1.35880e+001°)
1.80250e+003	(-4.60397e+001dB,-8.87020e+001°)	(-8.58894e+001dB,-1.02340e+002°)	(3.98497e+001dB,1.36379e+001°)
