frequency	V(inoise)	V(onoise)
7.244359600749837e+001	8.503373e-008	1.295710e-008
7.413102413009111e+001	8.503309e-008	1.295706e-008
7.585775750291771e+001	8.503248e-008	1.295702e-008
7.762471166286849e+001	8.503189e-008	1.295698e-008
7.943282347242744e+001	8.503133e-008	1.295694e-008
8.128305161640920e+001	8.503080e-008	1.295690e-008
8.317637711026636e+001	8.503029e-008	1.295687e-008
8.511380382023688e+001	8.502980e-008	1.295684e-008
8.709635899560728e+001	8.502933e-008	1.295681e-008
8.912509381337374e+001	8.502889e-008	1.295678e-008
9.120108393559013e+001	8.502846e-008	1.295675e-008
9.332543007969824e+001	8.502806e-008	1.295672e-008
9.549925860214270e+001	8.502766e-008	1.295669e-008
9.772372209558016e+001	8.502730e-008	1.295667e-008
9.999999999999906e+001	8.502694e-008	1.295664e-008
1.023292992280745e+002	8.502661e-008	1.295662e-008
1.047128548050890e+002	8.502628e-008	1.295660e-008
1.071519305237596e+002	8.502597e-008	1.295658e-008
1.096478196143175e+002	8.502568e-008	1.295656e-008
1.122018454301953e+002	8.502540e-008	1.295654e-008
1.148153621496872e+002	8.502513e-008	1.295652e-008
1.174897554939518e+002	8.502487e-008	1.295650e-008
1.202264434617402e+002	8.502463e-008	1.295649e-008
1.230268770812370e+002	8.502440e-008	1.295647e-008
1.258925411794155e+002	8.502417e-008	1.295645e-008
1.288249551693122e+002	8.502396e-008	1.295644e-008
1.318256738556394e+002	8.502376e-008	1.295643e-008
1.348962882591640e+002	8.502356e-008	1.295641e-008
1.380384264602871e+002	8.502337e-008	1.295640e-008
1.412537544622740e+002	8.502320e-008	1.295639e-008
1.445439770745913e+002	8.502303e-008	1.295637e-008
1.479108388168193e+002	8.502287e-008	1.295636e-008
1.513561248436193e+002	8.502271e-008	1.295635e-008
1.548816618912466e+002	8.502256e-008	1.295634e-008
1.584893192461097e+002	8.502242e-008	1.295633e-008
1.621810097358913e+002	8.502229e-008	1.295632e-008
1.659586907437543e+002	8.502216e-008	1.295631e-008
1.698243652461727e+002	8.502204e-008	1.295630e-008
1.737800828749357e+002	8.502192e-008	1.295629e-008
1.778279410038904e+002	8.502181e-008	1.295628e-008
1.819700858609964e+002	8.502170e-008	1.295627e-008
1.862087136662848e+002	8.502160e-008	1.295626e-008
1.905460717963227e+002	8.502150e-008	1.295626e-008
1.949844599758025e+002	8.502141e-008	1.295625e-008
1.995262314968859e+002	8.502132e-008	1.295624e-008
2.041737944669508e+002	8.502123e-008	1.295623e-008
2.089296130854017e+002	8.502116e-008	1.295623e-008
