time	V(pwm)	V(tri)
5.084421881005666e-003	4.721566e-002	2.458463e+000
5.084727056786915e-003	4.718629e-002	2.445655e+000
5.085337408349416e-003	4.720534e-002	2.420038e+000
5.086558111474415e-003	4.788971e-002	2.368807e+000
5.088999517724416e-003	5.249340e-002	2.266351e+000
5.090468561266691e-003	6.043362e-002	2.204705e+000
5.091479258411153e-003	7.349262e-002	2.162294e+000
5.092236687220251e-003	9.363734e-002	2.130513e+000
5.092868897321304e-003	1.256522e-001	2.103986e+000
5.093430885789837e-003	1.728823e-001	2.080406e+000
5.093727718998260e-003	2.098179e-001	2.067952e+000
5.093924927446116e-003	2.459943e-001	2.059678e+000
5.094066439715828e-003	2.920222e-001	2.053741e+000
5.094201889649709e-003	3.731336e-001	2.048058e+000
5.094354597627546e-003	5.036529e-001	2.041651e+000
5.094359361778406e-003	5.090846e-001	2.041451e+000
5.094365713979551e-003	5.164198e-001	2.041184e+000
5.094371214449652e-003	5.228409e-001	2.040954e+000
5.094374135669728e-003	5.262839e-001	2.040831e+000
5.094375714769800e-003	5.281566e-001	2.040765e+000
5.094376482154397e-003	5.290695e-001	2.040733e+000
5.094376712402672e-003	5.293438e-001	2.040723e+000
5.094376978919618e-003	5.296616e-001	2.040712e+000
5.094385341860383e-003	5.397359e-001	2.040361e+000
5.094389595217341e-003	5.449368e-001	2.040182e+000
5.094396384257902e-003	5.533069e-001	2.039897e+000
5.094398081518041e-003	5.554156e-001	2.039826e+000
5.094399118740117e-003	5.567103e-001	2.039783e+000
5.094399151153307e-003	5.567508e-001	2.039782e+000
5.094399215979687e-003	5.568318e-001	2.039779e+000
5.094399218967974e-003	5.568356e-001	2.039779e+000
5.094399224944549e-003	5.568430e-001	2.039778e+000
5.094399236897697e-003	5.568580e-001	2.039778e+000
5.094399260803994e-003	5.568879e-001	2.039777e+000
5.094399308616588e-003	5.569477e-001	2.039775e+000
5.094399401331402e-003	5.570636e-001	2.039771e+000
5.094399586761027e-003	5.572957e-001	2.039763e+000
5.094399957620279e-003	5.577600e-001	2.039748e+000
5.094400699338781e-003	5.586900e-001	2.039716e+000
5.094402182775787e-003	5.605553e-001	2.039654e+000
5.094405149649798e-003	5.643071e-001	2.039530e+000
5.094411083397821e-003	5.718946e-001	2.039281e+000
5.094422950893867e-003	5.874057e-001	2.038783e+000
5.094446685885958e-003	6.197638e-001	2.037787e+000
5.094494155870141e-003	6.897768e-001	2.035795e+000
5.094589095838507e-003	8.512020e-001	2.031812e+000
5.094778975775240e-003	1.261721e+000	2.023846e+000
5.095158735648704e-003	2.290306e+000	2.007913e+000
5.095419872539145e-003	3.094920e+000	1.996957e+000
5.095594799418988e-003	3.630297e+000	1.989618e+000
5.095765959357166e-003	4.072520e+000	1.982438e+000
5.095953776887293e-003	4.415617e+000	1.974558e+000
5.096161601199812e-003	4.633962e+000	1.965839e+000
5.096274845412573e-003	4.688544e+000	1.961088e+000
5.096365598011268e-003	4.705966e+000	1.957281e+000
5.096488099407302e-003	4.719536e+000	1.952142e+000
5.096627201026446e-003	4.730376e+000	1.946306e+000
5.096857879170287e-003	4.744231e+000	1.936629e+000
5.097152437632659e-003	4.758165e+000	1.924272e+000
5.097741554557403e-003	4.778416e+000	1.899558e+000
5.098612020365504e-003	4.798533e+000	1.863043e+000
5.099610610439862e-003	4.812817e+000	1.821154e+000
5.100770368704627e-003	4.822351e+000	1.772506e+000
5.102437388925780e-003	4.830109e+000	1.702585e+000
5.104241810999080e-003	4.835205e+000	1.626907e+000
5.106887334106532e-003	4.840191e+000	1.515962e+000
5.110733399338679e-003	4.845923e+000	1.354700e+000
5.117243704509709e-003	4.854592e+000	1.081804e+000
5.121536645860944e-003	4.859994e+000	9.019395e-001
5.124233387869284e-003	4.863252e+000	7.890429e-001
5.126151372544778e-003	4.865508e+000	7.088444e-001
5.127567627194797e-003	4.867145e+000	6.497253e-001
5.128643145721654e-003	4.868372e+000	6.049310e-001
5.129408380829786e-003	4.869238e+000	5.731336e-001
5.129544283648222e-003	4.869390e+000	5.675001e-001
5.129816089285093e-003	4.869694e+000	5.562648e-001
5.130359700558835e-003	4.870301e+000	5.338665e-001
5.130667762384577e-003	4.870644e+000	5.212231e-001
5.130707494327293e-003	4.870688e+000	5.195995e-001
5.130786958212724e-003	4.870776e+000	5.163640e-001
5.130919812359396e-003	4.870924e+000	5.109684e-001
5.130939084605367e-003	4.870945e+000	5.101876e-001
5.130977629097308e-003	4.870987e+000	5.086298e-001
5.131054718081191e-003	4.871073e+000	5.055206e-001
5.131067788984534e-003	4.871087e+000	5.049941e-001
5.131093930791218e-003	4.871116e+000	5.039369e-001
5.131122969083304e-003	4.871148e+000	5.027368e-001
5.131152134544215e-003	4.871181e+000	5.014709e-001
5.131183880592318e-003	4.871215e+000	4.999973e-001
5.131217861955343e-003	4.871253e+000	4.983325e-001
5.131254604893477e-003	4.871294e+000	4.965925e-001
5.131299274379607e-003	4.871343e+000	4.948610e-001
5.131352693617143e-003	4.871402e+000	4.934077e-001
5.131405263177435e-003	4.871459e+000	4.926107e-001
5.131500649284897e-003	4.871565e+000	4.929845e-001
5.131691421499818e-003	4.871775e+000	4.971353e-001
5.131696847898003e-003	4.871780e+000	4.973129e-001
5.131707700694373e-003	4.871792e+000	4.977363e-001
