Freq.	V(out5)
1.55832915932101e+003	(2.55290255130994e+001dB,1.79612183895590e+002°)
1.56916819579351e+003	(2.55290227188640e+001dB,1.79609486571051e+002°)
1.58008262372676e+003	(2.55290198856278e+001dB,1.79606770488284e+002°)
1.59107296750985e+003	(2.55290170128467e+001dB,1.79604035516880e+002°)
1.60213975517925e+003	(2.55290140999688e+001dB,1.79601281525526e+002°)
1.61328351844426e+003	(2.55290111464345e+001dB,1.79598508381997e+002°)
1.62450479271248e+003	(2.55290081516764e+001dB,1.79595715953150e+002°)
1.63580411711557e+003	(2.55290051151193e+001dB,1.79592904104915e+002°)
1.64718203453516e+003	(2.55290020361798e+001dB,1.79590072702295e+002°)
1.65863909162889e+003	(2.55289989142665e+001dB,1.79587221609352e+002°)
1.67017583885675e+003	(2.55289957487797e+001dB,1.79584350689206e+002°)
1.68179283050744e+003	(2.55289925391112e+001dB,1.79581459804026e+002°)
1.69349062472506e+003	(2.55289892846446e+001dB,1.79578548815024e+002°)
1.70526978353592e+003	(2.55289859847547e+001dB,1.79575617582448e+002°)
1.71713087287552e+003	(2.55289826388075e+001dB,1.79572665965576e+002°)
1.72907446261574e+003	(2.55289792461604e+001dB,1.79569693822708e+002°)
1.74110112659226e+003	(2.55289758061617e+001dB,1.79566701011162e+002°)
1.75321144263208e+003	(2.55289723181506e+001dB,1.79563687387265e+002°)
1.76540599258132e+003	(2.55289687814571e+001dB,1.79560652806345e+002°)
1.77768536233315e+003	(2.55289651954019e+001dB,1.79557597122727e+002°)
1.79005014185596e+003	(2.55289615592961e+001dB,1.79554520189724e+002°)
1.80250092522167e+003	(2.55289578724413e+001dB,1.79551421859630e+002°)
1.81503831063433e+003	(2.55289541341293e+001dB,1.79548301983717e+002°)
1.82766290045881e+003	(2.55289503436422e+001dB,1.79545160412220e+002°)
1.84037530124976e+003	(2.55289465002517e+001dB,1.79541996994338e+002°)
1.85317612378075e+003	(2.55289426032198e+001dB,1.79538811578221e+002°)
1.86606598307363e+003	(2.55289386517978e+001dB,1.79535604010966e+002°)
1.87904549842804e+003	(2.55289346452269e+001dB,1.79532374138609e+002°)
1.89211529345121e+003	(2.55289305827374e+001dB,1.79529121806116e+002°)
1.90527599608789e+003	(2.55289264635491e+001dB,1.79525846857379e+002°)
